m/z,z
230.6598,2
332.1995,2
413.2259,2
433.7392,2
558.7736,2
704.3214,2
233.0765,2
334.6162,2
415.6426,2
436.1559,2
561.1903,2
706.738,2
233.0765,2
334.6162,2
415.6426,2
436.1559,2
561.1903,2
706.738,2
240.0844,2
341.624,2
422.6505,2
443.1637,2
568.1982,2
713.7459,2
248.6053,2
350.1449,2
431.1714,2
451.6846,2
576.7191,2
722.2668,2
255.6495,2
357.1892,2
438.2156,2
458.7288,2
583.7633,2
729.311,2
262.6265,2
364.1662,2
445.1926,2
465.7059,2
590.7403,2
736.288,2
208.6285,2
310.1682,2
391.1946,2
411.7079,2
536.7423,2
682.2901,2
223.6156,2
325.1553,2
406.1817,2
426.695,2
551.7294,2
697.2771,2
291.6418,2
393.1815,2
474.2079,2
494.7212,2
619.7556,2
765.3034,2
251.1549,2
352.6946,2
433.721,2
454.2343,2
579.2687,2
724.8164,2
311.6648,2
413.2045,2
494.2309,2
514.7442,2
639.7786,2
785.3263,2
311.6648,2
413.2045,2
494.2309,2
514.7442,2
639.7786,2
785.3263,2
323.6393,2
425.179,2
506.2054,2
526.7187,2
651.7531,2
797.3008,2
242.6416,2
344.1813,2
425.2077,2
445.721,2
570.7554,2
716.3032,2
337.6711,2
439.2108,2
520.2372,2
540.7505,2
665.7849,2
811.3326,2
356.1631,2
457.7028,2
538.7292,2
559.2425,2
684.2769,2
829.8247,2
372.7159,2
474.2556,2
555.282,2
575.7952,2
700.8297,2
846.3774,2
315.6762,2
417.2159,2
498.2423,2
518.7556,2
643.79,2
789.3377,2
318.1663,2
419.706,2
500.7324,2
521.2457,2
646.2802,2
791.8279,2
387.6868,2
489.2265,2
570.2529,2
590.7662,2
715.8006,2
861.3483,2
310.1775,2
411.7172,2
492.7436,2
513.2569,2
638.2913,2
783.8391,2
329.7101,2
431.2497,2
512.2762,2
532.7894,2
657.8239,2
803.3716,2
395.1846,2
496.7243,2
577.7507,2
598.264,2
723.2984,2
868.8461,2
388.2281,2
489.7678,2
570.7942,2
591.3075,2
716.3419,2
861.8896,2
401.2028,2
502.7425,2
583.7689,2
604.2822,2
729.3166,2
874.8643,2
402.1924,2
503.7321,2
584.7585,2
605.2718,2
730.3062,2
875.8539,2
420.1836,2
521.7232,2
602.7496,2
623.2629,2
748.2974,2
893.8451,2
420.2106,2
521.7503,2
602.7767,2
623.29,2
748.3244,2
893.8721,2
420.1836,2
521.7232,2
602.7496,2
623.2629,2
748.2974,2
893.8451,2
330.6633,2
432.203,2
513.2294,2
533.7427,2
658.7771,2
804.3248,2
444.2288,2
545.7685,2
626.7949,2
647.3082,2
772.3426,2
917.8903,2
451.7343,2
553.2739,2
634.3004,2
654.8136,2
779.8481,2
925.3958,2
452.2756,2
553.8153,2
634.8417,2
655.3549,2
780.3894,2
925.9371,2
452.2756,2
553.8153,2
634.8417,2
655.3549,2
780.3894,2
925.9371,2
461.2372,2
562.7769,2
643.8033,2
664.3165,2
789.351,2
934.8987,2
468.737,2
570.2767,2
651.3031,2
671.8164,2
796.8508,2
942.3985,2
417.7324,2
519.2721,2
600.2985,2
620.8118,2
745.8462,2
891.3939,2
482.2081,2
583.7478,2
664.7742,2
685.2874,2
810.3219,2
955.8696,2
423.7466,2
525.2863,2
606.3127,2
626.826,2
751.8605,2
897.4082,2
423.7466,2
525.2863,2
606.3127,2
626.826,2
751.8605,2
897.4082,2
421.7072,2
523.2469,2
604.2733,2
624.7866,2
749.821,2
895.3687,2
421.7072,2
523.2469,2
604.2733,2
624.7866,2
749.821,2
895.3687,2
508.2763,2
609.816,2
690.8424,2
711.3557,2
836.3901,2
981.9378,2
508.7557,2
610.2954,2
691.3218,2
711.8351,2
836.8695,2
982.4172,2
525.7585,2
627.2981,2
708.3246,2
728.8378,2
853.8723,2
999.42,2
531.3028,2
632.8425,2
713.8689,2
734.3822,2
859.4166,2
1004.9644,2
468.7463,2
570.286,2
651.3124,2
671.8257,2
796.8601,2
942.4078,2
537.2608,2
638.8005,2
719.8269,2
740.3402,2
865.3746,2
1010.9224,2
468.7463,2
570.286,2
651.3124,2
671.8257,2
796.8601,2
942.4078,2
545.8105,2
647.3502,2
728.3766,2
748.8899,2
873.9243,2
1019.472,2
487.7941,2
589.3338,2
670.3602,2
690.8735,2
815.9079,2
961.4556,2
487.7941,2
589.3338,2
670.3602,2
690.8735,2
815.9079,2
961.4556,2
482.2081,2
583.7478,2
664.7742,2
685.2874,2
810.3219,2
955.8696,2
499.7577,2
601.2974,2
682.3238,2
702.8371,2
827.8716,2
973.4193,2
566.2692,2
667.8089,2
748.8353,2
769.3486,2
894.383,2
1039.9307,2
534.2811,2
635.8208,2
716.8472,2
737.3604,2
862.3949,2
1007.9426,2
571.2651,2
672.8048,2
753.8312,2
774.3444,2
899.3789,2
1044.9266,2
564.279,2
665.8187,2
746.8451,2
767.3584,2
892.3928,2
1037.9406,2
573.277,2
674.8167,2
755.8431,2
776.3564,2
901.3908,2
1046.9385,2
571.2651,2
672.8048,2
753.8312,2
774.3444,2
899.3789,2
1044.9266,2
516.7896,2
618.3292,2
699.3557,2
719.8689,2
844.9034,2
990.4511,2
658.3354,2
759.8751,2
840.9015,2
861.4148,2
986.4492,2
1131.9969,2
501.7899,2
603.3296,2
684.356,2
704.8693,2
829.9037,2
975.4514,2
572.8012,2
674.3409,2
755.3673,2
775.8806,2
900.915,2
1046.4627,2
685.8796,2
787.4193,2
868.4457,2
888.959,2
1013.9934,2
1159.5412,2
630.3147,2
731.8544,2
812.8808,2
833.394,2
958.4285,2
1103.9762,2
630.8689,2
732.4086,2
813.435,2
833.9482,2
958.9827,2
1104.5304,2
575.7923,2
677.332,2
758.3584,2
778.8717,2
903.9061,2
1049.4538,2
635.3125,2
736.8522,2
817.8786,2
838.3919,2
963.4264,2
1108.9741,2
715.3279,2
816.8676,2
897.894,2
918.4073,2
1043.4417,2
1188.9894,2
635.3125,2
736.8522,2
817.8786,2
838.3919,2
963.4264,2
1108.9741,2
635.3125,2
736.8522,2
817.8786,2
838.3919,2
963.4264,2
1108.9741,2
565.3176,2
666.8573,2
747.8837,2
768.397,2
893.4314,2
1038.9791,2
650.3505,2
751.8902,2
832.9166,2
853.4299,2
978.4643,2
1124.012,2
643.3682,2
744.9079,2
825.9343,2
846.4476,2
971.482,2
1117.0297,2
544.2667,2
645.8063,2
726.8327,2
747.346,2
872.3805,2
1017.9282,2
728.8567,2
830.3964,2
911.4228,2
931.9361,2
1056.9705,2
1202.5182,2
673.3539,2
774.8936,2
855.92,2
876.4333,2
1001.4677,2
1147.0154,2
681.3075,2
782.8471,2
863.8736,2
884.3868,2
1009.4213,2
1154.969,2
685.3424,2
786.8821,2
867.9085,2
888.4217,2
1013.4562,2
1159.0039,2
543.2952,2
644.8349,2
725.8613,2
746.3746,2
871.409,2
1016.9567,2
681.3075,2
782.8471,2
863.8736,2
884.3868,2
1009.4213,2
1154.969,2
564.279,2
665.8187,2
746.8451,2
767.3584,2
892.3928,2
1037.9406,2
630.8689,2
732.4086,2
813.435,2
833.9482,2
958.9827,2
1104.5304,2
577.7991,2
679.3388,2
760.3652,2
780.8784,2
905.9129,2
1051.4606,2
699.36,2
800.8997,2
881.9261,2
902.4394,2
1027.4738,2
1173.0215,2
708.9194,2
810.4591,2
891.4855,2
911.9988,2
1037.0332,2
1182.5809,2
601.7801,2
703.3198,2
784.3462,2
804.8595,2
929.8939,2
1075.4416,2
656.8845,2
758.4242,2
839.4506,2
859.9639,2
984.9983,2
1130.546,2
733.3787,2
834.9184,2
915.9448,2
936.4581,2
1061.4926,2
1207.0403,2
648.8524,2
750.3921,2
831.4185,2
851.9318,2
976.9662,2
1122.5139,2
737.4014,2
838.9411,2
919.9675,2
940.4808,2
1065.5152,2
1211.0629,2
733.3787,2
834.9184,2
915.9448,2
936.4581,2
1061.4926,2
1207.0403,2
828.4013,2
929.941,2
1010.9674,2
1031.4807,2
1156.5151,2
1302.0628,2
778.4455,2
879.9852,2
961.0116,2
981.5248,2
1106.5593,2
1252.107,2
808.3599,2
909.8996,2
990.926,2
1011.4393,2
1136.4737,2
1282.0214,2
783.9171,2
885.4568,2
966.4832,2
986.9965,2
1112.0309,2
1257.5786,2
808.3599,2
909.8996,2
990.926,2
1011.4393,2
1136.4737,2
1282.0214,2
807.8695,2
909.4091,2
990.4356,2
1010.9488,2
1135.9833,2
1281.531,2
751.927,2
853.4667,2
934.4931,2
955.0064,2
1080.0408,2
1225.5886,2
865.9825,2
967.5222,2
1048.5486,2
1069.0619,2
1194.0963,2
1339.6441,2
735.9115,2
837.4512,2
918.4776,2
938.9908,2
1064.0253,2
1209.573,2
854.4421,2
955.9818,2
1037.0082,2
1057.5214,2
